"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Raina,261,SC,Purba_bardhaman,Subhash Patra,Bharatiya Janata Party,246060,231803,94.2 %,834,0.4%
Raipur,250,ST,Bankura,Kshetramohan Hansda,Bharatiya Janata Party,224120,208386,93.0 %,28742,13.8%
Rajarhat Gopalpur,117,GEN,North_24_parganas,Tarunjyoti Tewari,Bharatiya Janata Party,218890,194162,88.7 %,27757,14.3%
Rajarhat New Town,115,GEN,North_24_parganas,Piyush Kanodia,Bharatiya Janata Party,267645,250776,93.7 %,309,0.1%
Rajganj,18,SC,Jalpaiguri,Dinesh Sarkar,Bharatiya Janata Party,230795,223057,96.6 %,21477,9.6%
Ramnagar,217,GEN,Purbo_medinipur,Dr. Chandra Sekhar Mondal,Bharatiya Janata Party,269252,243565,90.5 %,26939,11.1%
Rampurhat,291,GEN,Birbhum,Dhruba Saha,Bharatiya Janata Party,245159,230560,94.0 %,24233,10.5%
Ranaghat Dakshin,90,SC,Nadia,Ashim Kumar Biswas,Bharatiya Janata Party,253346,231462,91.4 %,64464,27.9%
Ranaghat Uttar Paschim,87,GEN,Nadia,Partha Sarathi Chatterjee(BABU),Bharatiya Janata Party,232716,215293,92.5 %,57551,26.7%
Ranaghat Uttar Purba,89,SC,Nadia,Ashim Biswas,Bharatiya Janata Party,232399,209617,90.2 %,51743,24.7%
Ranibandh,249,ST,Bankura,Kshudiram Tudu,Bharatiya Janata Party,254570,232944,91.5 %,52269,22.4%
Raniganj,278,GEN,Paschim_bardhaman,Partha Ghosh,Bharatiya Janata Party,215994,194032,89.8 %,17786,9.2%
Raninagar,63,GEN,Murshidabad,Julfikar Ali,Indian National Congress,244391,234962,96.1 %,2701,1.1%
Rashbehari,160,GEN,Kolkata_south,Dasgupta Swapan,Bharatiya Janata Party,158406,137518,86.8 %,20865,15.2%
Ratua,48,GEN,Malda,Samar Mukherjee,All India Trinamool Congress,246547,231691,94.0 %,32562,14.1%
Rejinagar,70,GEN,Murshidabad,Humayun Kabir,Aam Janata Unnayan Party,256267,237661,92.7 %,58876,24.8%
Sabang,226,GEN,Paschim_medinipur,Amal Kumar Panda,Bharatiya Janata Party,274383,256035,93.3 %,11136,4.3%
Sagar,132,GEN,South_24_parganas,Sumanta Mandal,Bharatiya Janata Party,274103,257507,93.9 %,7881,3.1%
Sagardighi,60,GEN,Murshidabad,Bayron Biswas,All India Trinamool Congress,216977,205722,94.8 %,34260,16.7%
Sainthia,289,SC,Birbhum,Krishna Kanta Saha,Bharatiya Janata Party,251997,239624,95.1 %,10306,4.3%
Salboni,234,GEN,Paschim_medinipur,Biman Mahata,Bharatiya Janata Party,279304,264554,94.7 %,15243,5.8%
Saltora,247,SC,Bankura,Chandana Bauri,Bharatiya Janata Party,233175,215720,92.5 %,32135,14.9%
Samserganj,56,GEN,Murshidabad,Mohammed Noor Alam,All India Trinamool Congress,161435,153776,95.3 %,7587,4.9%
Sandeshkhali,123,ST,North_24_parganas,Sanat Sardar,Bharatiya Janata Party,223269,213988,95.8 %,17510,8.2%
Sankrail,174,SC,Haora,Priya Paul,All India Trinamool Congress,240252,227441,94.7 %,16740,7.4%
